lake,replicate,temperature,fish,test,size,tail,tolerance,maturity,off1,off2,off3,age1,age2,age3
Gardisky,1,25,yes,phenotype,1.35,0.56,,4,4,3,9,6,8,10
Gardisky,2,25,yes,phenotype,1.37,0.59,,4,3,5,9,6,8,10
Gardisky,4,25,yes,phenotype,1.25,0.55,,4,3,3,6,6,8,10
Gardisky,5,25,yes,phenotype,1.25,0.54,,5,2,3,6,7,8,10
Gardisky,6,25,yes,phenotype,1.4,0.55,,5,2,4,8,6,8,10
Gardisky,7,25,yes,phenotype,1.26,0.59,,5,1,4,5,7,8,10
Gardisky,8,25,yes,phenotype,1.58,0.64,,5,3,7,9,6,8,10
Gardisky,9,25,yes,phenotype,1.47,0.67,,5,3,6,7,6,8,10
Gardisky,10,25,yes,phenotype,1.5,0.61,,5,4,5,10,6,8,10
Gardisky,11,25,yes,phenotype,1.54,0.65,,4,3,9,12,6,8,10
Gardisky,12,25,yes,phenotype,1.56,0.7,,4,2,9,8,6,8,10
Gardisky,13,25,yes,phenotype,1.34,0.58,,5,2,6,8,6,8,10
Gardisky,1,25,no,phenotype,1.43,0.6,,4,3,5,8,6,8,10
Gardisky,2,25,no,phenotype,1.37,0.58,,4,2,6,7,6,8,10
Gardisky,3,25,no,phenotype,1.3,0.5,,4,2,4,6,6,8,10
Gardisky,4,25,no,phenotype,1.44,0.62,,5,2,4,9,7,8,10
Gardisky,5,25,no,phenotype,1.38,0.61,,5,3,5,6,6,8,10
Gardisky,6,25,no,phenotype,1.4,0.67,,5,4,5,9,6,8,10
Gardisky,7,25,no,phenotype,1.38,0.66,,5,3,5,8,6,8,10
Gardisky,8,25,no,phenotype,1.23,0.48,,5,1,3,5,6,8,10
Gardisky,9,25,no,phenotype,1.33,0.6,,5,3,3,8,6,8,10
Gardisky,10,25,no,phenotype,1.36,0.61,,5,1,3,8,6,8,10
Gardisky,11,25,no,phenotype,1.55,0.61,,5,2,8,9,7,9,11
Gardisky,12,25,no,phenotype,1.35,0.6,,5,2,4,8,6,8,10
Gardisky,1,15,yes,phenotype,1.31,0.46,,7,3,3,5,11,14,18
Gardisky,2,15,yes,phenotype,1.33,0.54,,7,2,2,5,11,18,21
Gardisky,3,15,yes,phenotype,1.29,0.55,,8,3,3,5,12,15,19
Gardisky,4,15,yes,phenotype,1.24,0.49,,9,4,3,4,12,20,23
Gardisky,5,15,yes,phenotype,1.5,0.63,,9,5,4,7,13,16,19
Gardisky,6,15,yes,phenotype,1.23,0.45,,9,1,1,4,12,17,19
Gardisky,7,15,yes,phenotype,1.28,0.49,,9,3,3,6,12,16,19
Gardisky,8,15,yes,phenotype,1.21,0.51,,9,4,3,6,12,16,20
Gardisky,9,15,yes,phenotype,1.25,0.51,,8,3,2,4,12,15,19
Gardisky,10,15,yes,phenotype,1.21,0.49,,9,3,3,6,12,15,19
Gardisky,11,15,yes,phenotype,1.28,0.48,,9,4,4,4,12,16,19
Gardisky,12,15,yes,phenotype,1.32,0.56,,9,3,3,5,12,15,18
Gardisky,1,15,no,phenotype,1.27,0.51,,8,3,3,3,12,20,23
Gardisky,2,15,no,phenotype,1.35,0.59,,8,5,4,6,12,16,20
Gardisky,3,15,no,phenotype,1.24,0.47,,8,3,4,4,12,19,23
Gardisky,4,15,no,phenotype,1.26,0.52,,8,4,2,4,12,16,19
Gardisky,5,15,no,phenotype,1.24,0.47,,8,3,2,5,12,16,19
Gardisky,6,15,no,phenotype,1.29,0.58,,9,3,4,6,12,15,19
Gardisky,7,15,no,phenotype,1.27,0.54,,9,,,,,,
Gardisky,8,15,no,phenotype,1.34,0.54,,9,3,3,5,12,15,19
Gardisky,9,15,no,phenotype,1.38,0.5,,9,3,6,6,12,19,23
Gardisky,10,15,no,phenotype,1.29,0.54,,9,4,3,6,12,16,19
Gardisky,11,15,no,phenotype,1.2,0.48,,9,3,2,6,12,16,19
Gardisky,12,15,no,phenotype,1.26,0.54,,9,3,3,3,16,20,23
Blue,1,25,yes,ctmax,1.18,0.56,38.1,4,,,,,,
Blue,2,25,yes,ctmax,1.25,0.58,38,4,,,,,,
Blue,3,25,yes,ctmax,1.29,0.53,37.8,4,,,,,,
Blue,4,25,yes,ctmax,1.34,0.56,37.7,4,,,,,,
Blue,5,25,yes,ctmax,1.3,0.58,37.9,4,,,,,,
Blue,6,25,yes,ctmax,1.28,0.57,38,4,,,,,,
Blue,7,25,yes,ctmax,1.27,0.59,38.6,5,,,,,,
Blue,8,25,yes,ctmax,1.22,0.58,38.6,5,,,,,,
Blue,9,25,yes,ctmax,1.23,0.65,38.5,5,,,,,,
Blue,10,25,yes,ctmax,1.21,0.59,38.5,5,,,,,,
Blue,11,25,yes,ctmax,1.23,0.6,38.5,5,,,,,,
Blue,12,25,yes,ctmax,1.23,0.61,38.6,5,,,,,,
Blue,1,25,no,ctmax,1.24,0.6,37.5,5,,,,,,
Blue,2,25,no,ctmax,1.28,0.68,37.5,5,,,,,,
