Sample	Blue	Gardisky	D.pulicaria	D.pulex	D.galeata	D.magna	E.texana
Blue	100	99.19	98.84	97.23	86.73	81.72	74.97
Gardisky	99.19	100	98.88	97.22	86.7	81.76	75.09
D.pulicaria	98.84	98.88	100	97.06	86.72	81.48	74.76
D.pulex	97.23	97.22	97.06	100	86.93	81.7	75.06
D.galeata	86.75	86.71	86.58	86.93	100	81.46	74.37
D.magna	81.72	81.76	81.48	81.7	81.55	100	74.69
E.texana	74.97	75.09	74.76	75.06	74.44	74.69	100
